,item_id,site_id,total_sales,product_name
344,-46736,517,2784.32, SWEETART ROPE TWST RAINBOW BAG 5z
345,-42564,459,2782.58,SWTRTS ROPE STRWBRY KG 3.5z
346,-38673,380,2763.79,HER KG KIT KAT BIG KAT 3z
347,-28661,517,2759.31,KDSM DUBBLE BUBBLE MINI GUMBL
348,-11968,517,2758.71,HER TWZ 16z STRWB TWIST BAG
349,-12168,517,2758.67,HER KG 3.1z NUTRAGEOUS
350,-41024,517,2757.7,PERF AIRHD 6z XTRM SRFLL BITES BAG
351,-12314,589,2757.5, LAFFY TAFFY GRAPE 1.5z
352,-41480,380,2753.11,MAR M&M PEANUT SUB 10.7z
353,-41479,459,2748.3,WRI STARBURST 8z MINIS FAVREDS
354,-27617,517,2747.98,MAR KG 2.83z M&M PRETZEL
355,-12012,589,2743.67,WW AUS LIC RED BAG 10z
356,-27619,580,2741.88,MAR KG SNICKERS PB SQRD 3.56z
357,-17187,399,2741.75,HARIBO GMI 5z GOLD BEARS BAG
358,-11966,380,2740.88,HER TWZ 14z CHRY PULLNPEEL BAG
359,-17187,516,2733.92,HARIBO GMI 5z GOLD BEARS BAG
360,-34776,554,2730.27,I*MAR KG TWIX PB 2.8z
361,-12001,580,2728.45,WW AUS LIC WTRMLN BAG 10z
362,-12295,516,2725.92,ANB BIG HUNK 2z
363,-35262,380,2724.35, SWEETART ROPE KG 3.5z
364,-41883,554,2723.08,WRI KG EXTRA POLAR ICE MGPK
365,-12001,589,2719.08,WW AUS LIC WTRMLN BAG 10z
366,-11981,380,2702.99,WRI LFSVR GMI 7z 5 FLAVOR BAG
367,-12276,517,2701.45,HER REESES STICKS 1.5z
368,-40510,380,2697.21,HARIBO GMI 10z GOLD BEARS PCH
369,-12268,380,2695.73,MAR M&M PEANUT 1.74z
370,-12012,399,2695.41,WW AUS LIC RED BAG 10z
371,-12172,601,2690.81,HER KG 3z REESES STICKS
372,-25200,380,2678.48,TOPPS PUSH POP JUMBO
373,-12148,380,2678.28,HER KG 2.6z ALMD
374,-12355,589,2674.32,HER MILK DUDS 5z
